"Y" "N"
10 13
10 21
9 19
39 85
12 23
4 15
0 3
1 1
6 11
0 2
5 7
18 36
1 1
38 55
2 2
4 9
8 11
0 3
8 29
0 1
0 1
23 38
58 100
23 42
4 9
157 282
15 42
10 22
17 37
9 21
10 23
24 39
10 18
26 40
1 2
120 180
12 25
30 70
16 43
5 5
4 6
35 81
0 7
7 14
11 22
8 11
1 1
15 36
31 43
19 29
7 11
1 2
9 13
4 7
10 20
5 11
4 11
2 2
1 1
31 79
4 9
18 40
50 96
123 304
16 41
20 43
28 77
3 10
0 1
10 17
8 16
6 7
1 3
98 161
78 152
23 47
31 59
56 83
25 47
94 199
42 79
236 459
10 16
24 47
9 18
380 727
3 9
10 19
11 18
128 219
2 8
4 7
17 29
9 9
5 12
89 90
92 100
4 4
5 6
1 3
7 10
16 33
35 60
7 17
8 12
9 14
13 29
139 315
32 45
3 3
20 32
35 56
2 2
2 4
38 86
58 149
6 12
1 7
0 1
27 53
34 58
1 3
2 4
57 113
104 216
10 49
11 19
14 18
24 89
6 16
11 16
2 3
0 2
10 19
6 15
1 4
2 3
3 7
78 141
43 83
1 2
1 4
38 77
38 71
4 9
55 104
5 15
7 13
27 57
40 82
4 6
16 35
11 16
27 60
6 10
20 32
17 42
38 81
9 14
131 221
113 288
9 22
21 30
47 79
0 1
14 27
4 5
19 50
91 161
66 141
13 19
1 2
16 34
0 2
32 63
22 34
29 46
7 12
2 3
8 16
52 98
2 9
0 1
8 8
2 4
12 29
19 34
2 8
2 5
6 7
60 108
3 6
34 70
54 108
42 87
119 225
8 19
0 2
4 11
0 1
1 1
51 124
8 34
4 7
4 6
248 499
37 53
4 7
6 10
13 20
4 6
16 28
4 6
17 40
7 12
65 109
33 72
4 6
7 8
165 255
315 542
52 131
147 248
2 25
23 44
54 128
31 50
7 20
16 29
164 327
3 10
230 486
43 92
12 25
3 11
62 135
2 2
21 42
9 21
31 50
3 5
23 31
8 13
51 108
75 165
139 248
24 31
2 6
0 1
1 5
129 274
45 123
17 32
157 308
15 28
12 23
2 4
148 295
414 1002
8 16
41 71
18 43
9 38
32 52
27 60
150 330
89 156
9 18
12 20
11 18
18 27
16 21
14 27
1 2
3 8
27 75
0 2
1 2
27 54
236 456
41 71
75 183
15 27
52 92
80 154
93 203
7 11
1 6
2 2
17 24
13 16
3 7
3 3
8 15
10 13
14 21
5 6
5 6
87 87
10 22
2 2
3 7
18 30
1 3
0 2
37 42
39 92
34 89
68 153
61 156
34 55
17 40
15 19
3 4
5 8
3 8
17 71
3 11
30 72
85 164
17 45
60 147
60 147
1 2
5 7
86 173
151 315
128 280
86 131
26 48
66 150
2 4
3 13
9 19
47 105
462 853
17 29
0 1
1 3
1 3
20 41
73 162
187 403
11 31
71 139
6 7
0 1
25 54
2 3
5 11
8 14
0 1
24 52
11 39
36 79
34 76
10 20
1 5
17 42
89 181
10 15
35 63
235 278
12 22
12 21
3 6
13 27
15 35
7 20
6 8
8 27
7 22
4 11
47 52
5 11
129 282
129 282
23 50
18 37
3 3
1 2
16 23
15 21
130 295
10 21
40 73
101 200
13 23
36 60
6 21
42 100
5 8
4 4
1 3
3 8
44 89
225 470
35 63
11 19
26 51
10 18
98 182
0 6
19 42
62 152
83 166
26 52
121 233
26 38
20 21
4 7
6 15
3 9
3 4
52 110
5 6
20 29
6 13
15 34
1 9
23 36
54 90
2 4
279 430
14 26
0 1
19 28
14 22
8 11
5 8
0 6
1 1
174 322
126 307
141 306
104 201
9 30
2 7
3 6
31 71
5 7
32 58
132 167
11 14
12 19
14 37
7 12
59 112
51 107
60 112
22 43
41 89
11 29
1 2
10 20
40 79
19 30
39 92
17 32
2 3
55 179
213 402
402 743
23 43
187 312
1 1
55 126
49 113
11 17
46 100
99 216
5 8
41 97
140 266
27 64
14 38
131 216
1 1
1 1
7 21
107 234
3 5
8 10
246 452
40 73
1 2
9 17
12 24
0 1
19 39
1 4
6 14
0 1
97 195
61 136
68 129
12 27
17 33
7 17
10 14
4 6
1 2
7 22
142 300
13 22
11 21
5 12
72 130
19 43
8 13
114 247
113 220
18 32
23 41
8 14
36 68
36 68
93 212
5 6
84 144
2 5
11 44
3 6
1 2
27 56
111 206
7 15
84 158
24 31
1 3
12 21
4 6
0 3
0 1
7 15
18 27
2 2
5 9
4 7
1 1
2 3
43 124
6 14
133 238
83 270
5 14
8 17
4 6
29 140
2 6
15 26
59 125
107 193
63 110
97 625
68 143
93 177
28 62
5 12
33 73
26 42
40 91
17 38
122 252
31 70
62 140
1 1
122 251
0 5
189 377
2 5
0 2
1 9
63 117
122 228
25 91
5 20
43 88
4 6
8 13
35 74
27 63
22 38
115 231
100 203
108 185
562 1061
16 28
3 6
16 27
2 2
44 65
9 19
2 3
24 50
10 25
47 99
69 122
103 196
37 77
5 12
27 47
227 404
46 107
2 9
42 68
18 40
11 31
42 87
47 81
253 536
3 5
3 6
7 11
0 1
32 68
50 99
36 75
10 35
5 12
19 44
27 62
2 8
1 4
30 56
2 8
56 92
7 10
1 3
114 228
3 5
56 92
14 23
151 307
28 42
45 118
115 253
61 107
107 224
58 135
5 12
36 68
0 2
37 71
3 3
7 30
1 3
30 57
7 21
3 5
19 36
15 28
25 54
28 37
84 96
0 1
51 90
102 202
9 11
1 3
3 5
3 4
10 20
6 11
64 126
19 33
43 81
167 332
238 388
5 10
5 19
15 33
143 281
1 2
11 17
1 5
1 5
15 43
1 1
21 47
12 21
15 41
11 25
10 20
1 1
15 35
3 3
21 38
1 4
15 31
1 1
33 65
3 9
80 194
19 44
7 15
4 8
2 4
83 210
39 79
28 56
33 52
8 22
23 37
5 7
12 18
11 33
12 18
0 1
126 226
20 32
320 718
4 4
5 8
38 97
22 37
1 2
60 123
9 18
2 2
1 4
2 7
6 29
71 125
35 62
51 107
150 354
11 21
81 163
1 3
6 10
207 363
51 110
77 150
30 54
14 38
435 758
93 200
4 20
19 52
13 27
79 159
72 136
22 33
20 70
18 49
52 92
29 94
364 742
139 283
130 268
7 21
23 46
54 112
22 49
37 99
11 30
9 16
0 1
28 48
11 23
3 5
26 39
8 23
51 107
47 102
11 14
37 63
7 19
10 19
48 77
58 114
150 318
174 360
46 125
446 863
68 127
149 234
57 108
30 61
101 199
14 20
31 57
68 135
343 685
1 2
154 269
121 210
74 123
10 21
10 21
27 59
26 60
38 72
10 26
204 379
21 32
13 18
152 314
12 30
15 28
25 60
26 54
10 23
5 9
7 12
23 44
23 44
21 53
14 31
7 20
35 79
7 10
31 55
147 325
12 20
4 25
40 73
40 82
27 47
1 3
28 39
74 121
30 59
134 257
12 33
33 96
75 96
109 179
58 99
12 26
251 468
196 368
11 21
90 161
21 39
20 42
116 241
2 3
293 568
63 134
4 5
6 12
45 108
29 60
60 113
7 19
44 85
4 8
1 3
11 35
41 88
28 33
13 19
1 6
2 7
30 62
2 2
31 67
109 155
2 7
22 42
28 71
1 8
97 213
125 279
6 11
0 4
0 2
253 569
41 81
4 7
3 3
1 5
9 16
6 22
0 1
15 29
69 124
15 15
24 56
21 47
89 185
51 104
75 152
3 11
4 6
21 33
5 12
27 37
6 9
47 89
5 8
3 6
171 290
31 63
14 31
88 160
3 5
3 5
72 135
16 29
12 34
45 93
6 12
13 24
0 1
12 23
1 2
23 31
26 48
218 408
2 10
2 10
5 11
4 5
100 189
5 10
17 32
39 75
11 22
39 61
52 87
2 11
14 35
55 134
23 26
76 84
8 14
77 153
24 38
63 133
134 202
34 80
30 56
54 103
60 115
52 93
53 105
9 17
61 117
27 47
62 99
49 92
5 14
46 144
49 86
28 52
11 18
28 56
30 54
8 9
41 84
2 2
1 2
0 2
0 2
14 23
0 1
12 32
64 107
40 74
23 39
74 130
66 125
9 26
5 14
0 1
61 111
22 37
2 5
6 11
7 12
2 4
2 2
2 7
0 2
53 108
6 18
9 22
8 22
22 37
54 109
2 4
1 1
1 2
18 32
29 48
12 22
16 23
0 1
26 37
3 6
11 19
1 4
4 7
1 2
5 24
51 116
7 11
37 71
4 10
1 1
0 1
4 5
6 15
15 44
34 56
1 1
6 6
4 7
1 1
4 11
1 2
20 43
1 3
0 1
115 164
101 165
13 19
3 5
10 13
4 8
4 6
2 3
0 5
0 1
19 33
20 25
19 39
0 5
36 63
12 18
23 40
145 262
143 255
1 2
16 19
11 20
16 40
6 13
1 2
15 34
26 59
3 5
51 109
39 80
79 148
66 122
66 122
81 170
83 141
29 75
339 671
535 1179
6 13
9 21
17 37
20 62
74 148
12 35
82 181
2 6
18 35
9 37
1 1
2 4
1 8
5 12
5 11
1 3
1 3
1 26
1 1
99 188
99 188
14 22
3 7
2 8
5 7
4 4
1 2
0 4
1 1
38 67
29 59
8 20
8 18
38 66
2 2
9 20
6 11
33 58
11 18
3 5
12 26
2 6
3 4
18 29
2 3
0 2
9 18
26 61
1 5
1 4
23 40
7 12
19 50
2 13
19 29
2 6
8 18
2 7
13 24
26 41
3 6
1 6
3 5
19 57
86 187
14 53
0 1
161 315
139 275
1 1
25 45
2 2
2 3
2 3
132 241
7 15
22 44
1 3
18 20
0 1
4 11
14 30
0 1
6 11
2 5
2 5
14 28
15 35
0 2
23 57
26 69
110 256
14 30
1 2
23 30
2 4
2 3
36 57
15 27
13 13
34 60
20 35
12 18
146 290
46 73
51 152
11 23
47 100
32 96
31 69
2 7
46 89
12 24
1 5
21 37
1 3
23 43
0 3
54 99
1 5
0 1
17 33
9 16
7 13
64 135
15 20
18 44
55 80
31 67
60 167
10 22
40 117
37 70
36 91
92 173
59 136
1 2
11 25
222 406
119 231
18 31
1 7
32 53
112 205
39 84
2 5
10 23
86 194
1 1
56 142
88 181
16 30
6 14
3 8
38 88
45 79
11 22
18 41
278 568
1 3
37 76
0 1
83 145
117 217
30 86
1 1
7 12
172 304
2 4
8 21
5 18
6 16
0 1
27 56
28 60
13 31
11 30
9 17
4 10
3 5
9 11
8 18
2 3
6 11
12 19
2 4
2 2
12 16
5 14
21 43
7 21
1 4
11 22
16 26
14 31
7 15
23 37
45 101
31 72
8 11
6 9
1 2
26 70
10 12
1 2
8 14
2 8
26 56
29 66
6 437
0 2
0 1
56 103
5 23
2 2
3 3
13 105
156 308
84 171
5 19
0 1
6 13
1 1
2 4
2 11
70 112
48 106
7 11
1 1
5 8
0 5
1 3
17 30
7 7
3 5
15 36
15 36
1 3
7 13
3 4
6 18
7 10
25 45
9 19
2 10
16 26
69 133
53 88
38 83
2 9
77 150
14 29
2 6
7 15
0 1
1 2
0 1
2 5
22 33
28 61
4 7
0 2
79 157
79 157
8 8
19 33
5 9
1 1
83 165
5 10
15 21
13 24
12 20
6 11
1 3
2 4
3 5
78 157
5 12
26 45
10 14
2 3
4 6
7 16
3 7
6 23
1 2
7 9
2 3
6 25
52 103
29 51
10 18
221 476
25 36
3 11
111 301
13 20
1 2
8 24
13 36
10 27
2 2
