"Y" "N"
30 59
11 24
5 10
12 27
16 20
4 7
45 91
3 6
26 50
11 25
10 34
7 18
8 27
545 972
25 47
8 20
28 44
89 195
2 9
1 1
15 30
98 218
23 45
25 55
9 22
0 5
382 761
51 113
3 7
3 7
11 26
33 63
6 7
2 2
4 6
4 4
17 24
29 57
46 76
6 13
0 2
1 1
24 42
13 20
4 8
4 9
4 8
1 1
14 29
11 26
6 9
27 46
5 9
0 1
13 23
15 44
51 119
4 9
0 1
17 25
1 1
136 232
2 4
5 10
140 266
126 222
63 97
20 42
8 16
35 66
6 11
10 31
2 2
12 18
73 114
68 149
15 26
9 26
22 34
20 43
39 75
14 35
46 87
69 156
60 132
23 46
34 60
39 73
1 2
1 2
72 141
10 28
51 121
16 43
2 8
4 9
18 36
23 46
5 7
12 29
14 27
2 5
4 4
0 1
1 5
3 3
20 39
11 14
2 6
0 2
1 1
7 11
27 40
3 4
8 15
2 5
3 7
1 4
33 49
5 21
69 145
22 35
52 100
30 52
30 52
44 93
3 14
10 14
94 183
1 1
1 2
1 4
3 6
3 6
5 8
69 128
195 380
68 150
58 104
8 12
3 8
28 70
39 74
12 24
0 1
3 4
2 10
1 6
12 20
13 26
2 6
2 2
1 2
45 80
48 98
4 6
2 2
10 20
0 2
1 2
2 3
14 30
11 20
0 3
3 6
1 3
22 48
4 6
0 1
0 1
2 5
19 31
39 70
2 4
41 93
344 735
71 126
168 335
71 145
6 9
1 4
44 81
2 2
24 61
24 53
0 2
23 40
2 8
19 30
24 57
4 7
13 27
16 30
16 46
5 8
12 17
13 20
10 27
10 17
2 5
28 39
13 39
8 19
2 3
4 9
1 2
1 3
43 108
7 12
2 3
18 31
3 4
9 28
90 162
6 16
16 23
9 10
0 1
4 5
1 5
2 10
7 14
31 67
4 16
13 34
12 20
34 64
8 12
42 79
5 8
10 15
1 4
3 6
9 15
6 8
12 19
6 13
19 46
54 100
18 32
14 37
1 2
28 46
55 100
6 9
3 4
3 6
1 3
7 16
1 4
7 10
3 10
9 20
5 9
3 3
4 7
3 8
3 14
7 14
5 8
6 16
1 4
5 7
76 114
0 10
8 15
1 7
36 80
0 3
2 4
10 18
21 36
8 12
6 15
15 34
17 40
28 36
21 34
0 1
45 93
16 31
31 49
1 4
19 36
2 3
5 63
10 17
16 31
19 40
21 55
17 34
9 28
8 14
11 28
8 23
30 56
2 3
12 19
2 5
20 34
47 80
216 359
38 67
17 41
35 80
44 100
31 68
11 13
8 21
63 146
8 15
52 116
383 776
28 66
42 77
34 64
38 78
32 81
51 98
88 172
41 97
98 198
11 23
3 6
0 2
1 1
33 62
396 817
1 1
53 108
5 9
29 55
35 64
3 17
117 245
13 31
37 76
5 13
43 73
1 3
0 1
2 2
11 33
15 40
16 34
6 10
5 14
22 87
26 74
13 19
0 1
73 96
18 29
9 18
16 40
2 4
27 55
88 224
97 146
45 66
23 50
54 125
88 180
134 274
122 226
2 8
16 37
20 37
39 73
193 340
236 412
1 4
19 30
50 117
102 201
52 139
288 694
13 21
11 31
29 48
33 70
27 55
58 118
164 307
2 9
57 95
8 13
48 71
16 27
197 366
25 52
18 37
9 21
8 20
72 116
96 197
39 105
53 147
1 2
14 53
11 21
0 5
76 129
17 35
35 80
93 147
3 8
21 45
3 3
2 3
0 2
1 1
2 5
2 2
12 16
0 2
0 2
2 9
18 46
3 5
6 11
3 6
71 142
15 31
66 127
12 20
5 14
124 220
0 4
39 87
3 10
54 99
8 20
54 96
287 492
12 20
4 6
4 5
3 6
3 6
30 77
66 129
100 246
54 72
54 72
1 6
18 24
6 15
30 58
125 257
189 363
8 18
4 8
17 33
153 284
1 4
201 454
5 16
19 33
429 795
68 141
77 163
40 95
36 65
130 273
1 3
11 23
13 20
7 14
2 3
44 82
2 10
4 6
3 7
14 18
30 61
155 294
7 17
4 5
3 6
1 1
1 3
12 27
11 13
1 4
0 4
17 33
24 44
78 151
1 1
1 1
54 108
19 42
48 85
9 17
9 16
1 3
58 129
2 2
33 58
5 12
5 12
1 2
3 5
2 3
2 4
5 13
11 25
1 1
50 138
93 162
26 33
10 20
24 50
34 76
8 12
4 4
16 40
2 14
2 2
11 27
20 37
85 151
37 72
220 428
141 256
54 104
19 42
5 11
3 3
19 228
1 1
0 1
10 26
71 135
1 1
7 15
3 10
88 186
3 15
4 9
19 30
9 18
25 45
351 698
5 7
0 1
441 846
15 31
45 124
102 228
9 12
54 218
24 48
17 34
7 16
59 113
59 113
12 34
1 9
8 29
360 718
12 17
274 393
172 334
365 678
159 277
159 277
11 30
4 9
12 22
4 5
85 140
1 4
66 121
1 7
15 32
204 412
14 30
9 16
2 6
28 63
2 5
1 1
1 2
35 58
4 6
11 18
3 10
3 3
7 22
59 89
115 220
20 32
17 40
14 32
11 25
31 104
25 32
29 50
1 2
17 33
17 33
1 1
65 130
65 121
130 283
264 502
225 697
58 141
25 41
115 223
202 373
9 19
48 108
234 419
62 129
20 52
61 144
41 103
54 129
0 1
124 246
44 95
82 154
9 15
14 22
4 6
5 9
14 31
68 103
15 25
42 103
36 68
3 3
50 80
5 16
36 67
46 82
43 77
68 163
87 131
41 87
15 19
6 19
15 25
11 16
184 387
212 369
8 15
21 28
43 100
17 32
7 11
38 40
0 26
69 127
3 7
1 2
2 4
9 27
4 6
11 19
0 21
86 157
107 183
11 24
14 17
14 17
2 5
15 26
15 26
118 214
114 235
6 9
8 20
2 7
118 198
9 17
3 8
6 12
3 6
1 8
32 66
3 10
45 94
1 1
3 4
2 2
9 19
7 8
27 54
22 57
36 63
8 16
0 1
28 37
4 8
35 86
13 32
4 9
23 51
66 143
72 159
17 34
97 182
28 53
8 14
34 75
210 433
5 10
97 182
1 2
1 2
25 57
6 9
27 62
25 45
350 637
19 25
11 27
77 174
77 174
40 83
35 65
78 185
36 70
189 322
28 57
21 50
17 40
23 44
27 60
37 67
33 74
81 165
53 106
9 14
8 12
23 44
137 223
274 592
6 12
33 51
33 98
4 11
11 23
3 4
28 60
26 189
7 15
35 48
2 4
2 7
2 5
48 102
76 176
60 125
104 184
58 131
174 352
37 88
41 90
1 3
80 152
10 16
26 50
288 482
61 109
50 97
7 14
34 74
17 24
17 47
676 1292
1052 2020
35 90
33 64
132 238
70 144
17 30
5 8
23 39
75 171
9 15
46 91
4 7
75 111
0 1
234 387
66 157
435 720
477 890
2 9
0 4
103 163
4 15
4 15
168 296
55 88
13 23
11 24
86 199
48 102
58 107
48 94
21 36
19 45
28 58
23 55
31 57
25 52
28 49
101 172
13 25
8 20
54 116
1 5
9 22
1 2
8 18
62 141
59 118
30 68
3 7
15 25
48 141
39 76
7 7
24 44
40 74
39 73
15 17
27 86
65 136
8 14
2 4
0 1
145 287
54 96
1 5
14 45
53 106
202 353
458 900
101 214
29 60
82 167
23 48
21 50
13 17
48 87
33 72
106 194
7 21
2 5
25 47
4 13
92 211
152 339
1 1
32 73
8 10
1 1
2 5
45 97
64 115
147 324
61 97
231 481
39 96
3 6
19 33
13 18
8 24
18 43
20 37
1 1
1 5
36 89
302 569
57 119
19 40
33 75
30 59
110 211
13 18
12 28
106 226
65 146
28 57
21 39
41 52
4 10
35 79
30 71
5 8
58 95
2 2
67 162
28 61
5 9
40 67
20 39
36 70
29 49
237 477
129 259
1 6
23 27
134 200
141 279
104 238
296 589
201 353
117 198
49 111
36 77
324 595
10 16
6 11
0 1
75 123
63 137
215 433
52 95
124 124
1 1
1 1
50 112
2 3
0 8
17 21
1 2
1 6
96 220
67 119
19 38
2 4
32 73
37 95
15 55
85 161
12 26
7 21
36 63
17 38
140 305
11 22
31 52
1 2
42 104
8 13
16 32
17 32
61 120
11 22
20 32
10 20
108 165
4 9
3 11
2 3
3 5
4 7
36 41
19 25
38 79
38 79
7 9
73 152
0 1
199 391
5 11
21 32
35 64
3 5
1 1
6 6
14 23
5 10
29 75
27 51
2 5
77 144
11 45
78 160
44 96
26 36
179 356
185 329
1 4
250 541
250 541
24 59
10 12
22 36
1 5
8 15
1 1
2 11
4 5
3 7
7 16
32 62
0 3
8 12
25 66
71 120
41 75
23 60
43 138
25 45
26 49
1 4
58 131
47 105
11 37
10 33
125 226
125 226
2 9
16 36
16 35
10 19
6 17
9 28
21 47
2 7
1 7
43 82
4 9
59 137
319 523
16 25
18 39
26 36
178 361
20 30
16 23
27 51
53 130
25 67
1 5
1 5
8 43
152 306
10 19
22 44
105 253
5 8
19 40
8 13
1 4
205 401
6 8
50 82
112 139
37 74
26 42
227 428
11 16
51 119
12 21
1 2
60 98
3 6
20 44
69 152
85 160
3 6
44 70
396 746
2 5
9 14
20 59
33 75
44 79
45 100
38 74
45 87
42 89
16 28
4 10
24 69
4 5
30 59
239 470
32 92
20 46
11 19
20 41
7 14
1 5
2 2
100 178
75 135
1 5
34 53
7 11
10 18
0 1
19 57
161 367
26 45
61 133
15 23
10 21
25 44
37 75
51 107
35 58
8 17
1 3
6 8
25 39
11 24
9 13
3 7
0 3
5 9
43 88
3 3
4 6
2 5
0 1
4 8
24 54
9 16
0 2
86 185
18 30
48 100
3 8
1 1
4 7
0 3
2 4
46 77
1 1
8 18
9 11
25 50
9 12
10 19
21 44
0 1
3 12
2 7
6 12
9 12
1 5
1 6
3 5
31 56
0 1
30 61
2 3
1 5
27 54
4 10
1 3
0 4
189 376
0 1
2 2
1 4
9 14
9 24
14 21
1 1
1 4
21 48
2 3
0 12
198 430
194 417
9 12
25 56
20 35
45 75
15 33
19 23
132 238
25 41
127 270
79 202
120 222
